Tracker;Status;Priority;Subject;Category;Estimated time;Description;Caratteristica di riferimento;id;assegnatario;tempo impiegato;hash commit;commento
To-Do;New;Normal;"java:S1104:  ""Make project_ID_GUID_data_3 a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-X Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 41;startOffset: 16;endOffset: 38;endLine: 41";Maintenance (Code Smells);1617;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field project_ID_GUID_data_3 to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_K Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 41;startOffset: 16;endOffset: 38;endLine: 41";Maintenance (Code Smells);1618;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make project_ID_GUID_data_4 a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-Y Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 42;startOffset: 18;endOffset: 40;endLine: 42";Maintenance (Code Smells);1619;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field project_ID_GUID_data_4 to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_L Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 42;startOffset: 18;endOffset: 40;endLine: 42";Maintenance (Code Smells);1620;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make version_major a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-Z Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 43;startOffset: 16;endOffset: 29;endLine: 43";Maintenance (Code Smells);1621;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field version_major to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_M Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 43;startOffset: 16;endOffset: 29;endLine: 43";Maintenance (Code Smells);1622;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make version_minor a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-a Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 44;startOffset: 16;endOffset: 29;endLine: 44";Maintenance (Code Smells);1623;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field version_minor to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_N Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 44;startOffset: 16;endOffset: 29;endLine: 44";Maintenance (Code Smells);1624;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make system_identifier a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-b Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 45;startOffset: 18;endOffset: 35;endLine: 45";Maintenance (Code Smells);1625;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field system_identifier to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_O Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 45;startOffset: 18;endOffset: 35;endLine: 45";Maintenance (Code Smells);1626;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make generating_software a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-c Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 46;startOffset: 18;endOffset: 37;endLine: 46";Maintenance (Code Smells);1627;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field generating_software to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_P Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 46;startOffset: 18;endOffset: 37;endLine: 46";Maintenance (Code Smells);1628;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make file_creation_day a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-d Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 47;startOffset: 16;endOffset: 33;endLine: 47";Maintenance (Code Smells);1629;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field file_creation_day to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_Q Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 47;startOffset: 16;endOffset: 33;endLine: 47";Maintenance (Code Smells);1630;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make file_creation_year a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-e Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 48;startOffset: 16;endOffset: 34;endLine: 48";Maintenance (Code Smells);1631;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field file_creation_year to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_R Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 48;startOffset: 16;endOffset: 34;endLine: 48";Maintenance (Code Smells);1632;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make header_size a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-f Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 49;startOffset: 16;endOffset: 27;endLine: 49";Maintenance (Code Smells);1633;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field header_size to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_S Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 49;startOffset: 16;endOffset: 27;endLine: 49";Maintenance (Code Smells);1634;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make offset_to_point_data a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-g Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 50;startOffset: 15;endOffset: 35;endLine: 50";Maintenance (Code Smells);1635;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field offset_to_point_data to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_T Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 50;startOffset: 15;endOffset: 35;endLine: 50";Maintenance (Code Smells);1636;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make number_of_variable_length_records a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-h Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 51;startOffset: 15;endOffset: 48;endLine: 51";Maintenance (Code Smells);1637;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field number_of_variable_length_records to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_U Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 51;startOffset: 15;endOffset: 48;endLine: 51";Maintenance (Code Smells);1638;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make point_data_format a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-i Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 52;startOffset: 16;endOffset: 33;endLine: 52";Maintenance (Code Smells);1639;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field point_data_format to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_V Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 52;startOffset: 16;endOffset: 33;endLine: 52";Maintenance (Code Smells);1640;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make point_data_record_length a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-j Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 53;startOffset: 16;endOffset: 40;endLine: 53";Maintenance (Code Smells);1641;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field point_data_record_length to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_W Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 53;startOffset: 16;endOffset: 40;endLine: 53";Maintenance (Code Smells);1642;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make number_of_point_records a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-k Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 54;startOffset: 15;endOffset: 38;endLine: 54";Maintenance (Code Smells);1643;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field number_of_point_records to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_X Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 54;startOffset: 15;endOffset: 38;endLine: 54";Maintenance (Code Smells);1644;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make number_of_points_by_return a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-l Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 55;startOffset: 17;endOffset: 43;endLine: 55";Maintenance (Code Smells);1645;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field number_of_points_by_return to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_Y Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 55;startOffset: 17;endOffset: 43;endLine: 55";Maintenance (Code Smells);1646;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make max_x a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-m Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 56;startOffset: 18;endOffset: 23;endLine: 56";Maintenance (Code Smells);1647;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field max_x to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_Z Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 56;startOffset: 18;endOffset: 23;endLine: 56";Maintenance (Code Smells);1648;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make min_x a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-n Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 57;startOffset: 18;endOffset: 23;endLine: 57";Maintenance (Code Smells);1649;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field min_x to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_a Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 57;startOffset: 18;endOffset: 23;endLine: 57";Maintenance (Code Smells);1650;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make max_y a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-o Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 58;startOffset: 18;endOffset: 23;endLine: 58";Maintenance (Code Smells);1651;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field max_y to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_b Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 58;startOffset: 18;endOffset: 23;endLine: 58";Maintenance (Code Smells);1652;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make min_y a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-p Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 59;startOffset: 18;endOffset: 23;endLine: 59";Maintenance (Code Smells);1653;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field min_y to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_c Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 59;startOffset: 18;endOffset: 23;endLine: 59";Maintenance (Code Smells);1654;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S1104:  ""Make max_z a static final constant or non-public and provide accessors if needed.""";MINOR;10min;"Key: AYiMxjDoXwWVr5mP8E-q Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 60;startOffset: 18;endOffset: 23;endLine: 60";Maintenance (Code Smells);1655;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
To-Do;New;Normal;"java:S116:  ""Rename this field max_z to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""";MINOR;2min;"Key: AYiMxjDpXwWVr5mP8E_d Path: ClaudiaStallone_laszip4j:src/main/java/com/github/mreutegg/laszip4j/laslib/LASheader.java - startLine: 60;startOffset: 18;endOffset: 23;endLine: 60";Maintenance (Code Smells);1656;Claudia Stallone;;;"questa issue è stata fixata implicitamente nell' hash 3bb143206fb7a1f438df7f56d1c637e7a30335c4 ; poiché è stata risolta primaun' altra issue ""critical"""
